 
 
Glyma_ID_1	ProteinRatioEleByAmb	   
Glyma.19G046800_Exp	0.943996	   
Glyma.08G165400	1.042085	   
Glyma.08G165500	0.966626	   
Glyma.04G015900	0.886904	   
Glyma.03G185800	0.894707	   
Glyma.10G268500_Exp	1.144011	   
Glyma.07G142700	0.914219	   
Glyma.10G293500_Exp	0.959059	   
Glyma.11G226900_Exp	0.981343	   
Glyma.15G136200_Exp	0.917147	   
Glyma.05G025300	0.795283	   
Glyma.01G026700	0.95111	   
Glyma.19G089100_Exp	1.146342	   
Glyma.06G094300	1.119118	   
Glyma.10G210700	0.82748	   
Glyma.04G011900	1	   
Glyma.17G015600	0.988523	   
Glyma.19G022900	0.830022	   
Glyma.07G028500	1.156725	   
Glyma.16G168000	0.922311	   
Glyma.19G017200	0.749678	   
Glyma.08G044100	1.137157	   
Glyma.06G323700	1.315634	   
Glyma.10G086600	1.174853	   
Glyma.11G169700	0.95309	   
Glyma.09G015500	1	   
Glyma.15G012500	0.841885	   
Glyma.08G097300	1.153042	   
Glyma.06G017900	0.964772	   
Glyma.08G302600	0.969745	   
Glyma.09G255200	1.036819	   
Glyma.04G051200	0.9329	   
Glyma.13G222300	1.116518	   
Glyma.13G204800	0.89175	   
Glyma.10G042000	0.958016	   
Glyma.01G095900	1	   
Glyma.09G024100	1	 
